City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,72.16,76,10,16.13,light rain
1,Caravelas,BR,-17.7125,-39.2481,72.91,90,4,4.52,clear sky
2,Bethanien,NA,-26.502,17.1583,44.89,74,40,6.33,scattered clouds
3,Ponta Do Sol,PT,32.6667,-17.1,74.01,82,8,6.89,clear sky
4,Mwinilunga,ZM,-11.7358,24.4293,58.32,42,0,1.86,clear sky
5,Nikolskoye,RU,59.7035,30.7861,57.79,96,5,4.56,clear sky
6,Hofn,IS,64.2539,-15.2082,51.15,62,99,6.44,overcast clouds
7,Lebu,CL,-37.6167,-73.65,49.32,86,95,8.97,overcast clouds
8,Kapaa,US,22.0752,-159.319,84.52,73,75,11.5,broken clouds
9,Alofi,NU,-19.0595,-169.9187,75.09,94,3,11.5,clear sky
10,Khatanga,RU,71.9667,102.5,50.95,87,100,13.44,light rain
11,Kaitangata,NZ,-46.2817,169.8464,41.13,87,87,12.03,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,44.26,61,20,18.41,few clouds
13,Victoria,HK,22.2855,114.1577,85.32,88,40,3.0,scattered clouds
14,Carnarvon,AU,-24.8667,113.6333,59.23,58,73,14.0,broken clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,68,0,12.66,clear sky
16,Iqaluit,CA,63.7506,-68.5145,40.73,93,100,9.22,light rain
17,Atuona,PF,-9.8,-139.0333,76.82,78,11,16.24,few clouds
18,Sept-Iles,CA,50.2001,-66.3821,75.2,67,75,11.5,broken clouds
19,Bredasdorp,ZA,-34.5322,20.0403,48.63,86,92,5.82,overcast clouds
20,New Norfolk,AU,-42.7826,147.0587,47.91,79,100,3.27,light rain
21,Sungaipenuh,ID,-2.0833,101.3833,63.59,88,99,1.61,overcast clouds
22,Tiksi,RU,71.6872,128.8694,48.34,78,43,4.43,scattered clouds
23,Punta Arenas,CL,-53.15,-70.9167,42.91,65,40,6.91,scattered clouds
24,Barrow,US,71.2906,-156.7887,41.36,77,100,7.94,overcast clouds
25,Qaanaaq,GL,77.484,-69.3632,44.26,68,70,5.01,broken clouds
26,Kulhudhuffushi,MV,6.6221,73.07,80.51,81,100,17.65,light rain
27,Berbera,SO,10.4396,45.0143,90.5,42,2,21.56,clear sky
28,Walvis Bay,NA,-22.9575,14.5053,54.09,93,29,4.61,scattered clouds
29,Chokurdakh,RU,70.6333,147.9167,59.36,61,11,1.25,few clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,56,7.0,broken clouds
31,Dikson,RU,73.5069,80.5464,40.68,93,16,11.79,few clouds
32,Alyangula,AU,-13.8483,136.4192,69.4,86,5,7.87,clear sky
33,Touros,BR,-5.1989,-35.4608,74.79,90,100,10.07,light rain
34,Phan Thiet,VN,10.9333,108.1,77.34,92,100,8.28,overcast clouds
35,Cowra,AU,-33.8333,148.6833,43.38,68,100,2.26,overcast clouds
36,Butaritari,KI,3.0707,172.7902,80.94,72,99,15.73,overcast clouds
37,Severo-Kurilsk,RU,50.6789,156.125,53.87,90,93,1.66,overcast clouds
38,Longyearbyen,SJ,78.2186,15.6401,49.84,81,75,10.36,broken clouds
39,Akyab,MM,20.15,92.9,82.89,79,100,6.64,overcast clouds
40,Vaini,TO,-21.2,-175.2,78.96,94,40,9.22,scattered clouds
41,Ostrovnoy,RU,68.0531,39.5131,57.4,91,66,7.94,broken clouds
42,Hobart,AU,-42.8794,147.3294,48.25,80,75,8.05,broken clouds
43,Sesheke,ZM,-17.4759,24.2968,56.61,27,1,5.73,clear sky
44,Mount Isa,AU,-20.7333,139.5,44.37,81,89,0.0,overcast clouds
45,Lavrentiya,RU,65.5833,-171.0,48.24,69,99,4.23,overcast clouds
46,Avarua,CK,-21.2078,-159.775,78.85,73,75,18.41,broken clouds
47,Busselton,AU,-33.65,115.3333,54.72,71,99,9.98,overcast clouds
48,Bambous Virieux,MU,-20.3428,57.7575,70.21,68,40,18.41,scattered clouds
49,Esperance,AU,-33.8667,121.9,47.17,80,59,17.49,broken clouds
50,Tura,IN,25.5198,90.2201,73.98,98,100,6.6,moderate rain
51,Albany,US,42.6001,-73.9662,81.57,50,24,1.01,few clouds
52,Cabo San Lucas,MX,22.8909,-109.9124,91.18,57,57,6.6,broken clouds
53,Rocha,UY,-34.4833,-54.3333,47.86,86,33,2.08,scattered clouds
54,Severo-Yeniseyskiy,RU,60.3725,93.0408,59.07,97,12,1.95,few clouds
55,Shunyi,CN,40.125,116.6453,75.15,100,0,2.24,clear sky
56,Fort Nelson,CA,58.8053,-122.7002,65.79,59,75,2.3,broken clouds
57,Gorontalo,ID,0.5412,123.0595,73.92,96,99,2.33,overcast clouds
58,Namatanai,PG,-3.6667,152.4333,81.54,69,97,6.69,overcast clouds
59,Ancud,CL,-41.8697,-73.8203,45.23,79,99,2.01,overcast clouds
60,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,43,0,9.22,clear sky
61,Kaeo,NZ,-35.1,173.7833,55.33,90,26,13.33,scattered clouds
62,Mocuba,MZ,-16.8392,36.9856,62.13,96,25,1.92,scattered clouds
63,San Rafael Del Sur,NI,11.8485,-86.4384,85.62,65,62,13.44,light rain
64,Georgetown,MY,5.4112,100.3354,80.53,92,20,2.3,few clouds
65,Jalingo,NG,8.8833,11.3667,72.1,96,100,3.89,overcast clouds
66,Bandarbeyla,SO,9.4942,50.8122,75.29,86,12,30.13,few clouds
67,Kodiak,US,57.79,-152.4072,55.31,95,100,7.38,light rain
68,Tuatapere,NZ,-46.1333,167.6833,40.15,88,94,5.17,light rain
69,Bodo,NO,67.28,14.405,60.78,79,0,5.75,clear sky
